"Kod";"Nazwa";"imprezy;2015;[szt.]";"uczestnicy imprez;2015;[osoba]";
0000000000;"POLSKA";217412;34298323;
0000000000;"POLSKA - GMINY MIEJSKIE";94717;17691725;
0000000000;"POLSKA - GMINY MIEJSKO-WIEJSKIE";62823;9370010;
0000000000;"POLSKA - GMINY WIEJSKIE";59872;7236588;
0000000000;"POLSKA - MIASTO";144332;26504757;
0000000000;"POLSKA - WIEŚ";73080;7793566;
1000000000;"Region centralny";38016;5059251;
1100000000;"ŁÓDZKIE";14663;1607208;
1100000000;"ŁÓDZKIE - GMINY MIEJSKIE";8730;970445;
1100000000;"ŁÓDZKIE - GMINY MIEJSKO-WIEJSKIE";2897;341745;
1100000000;"ŁÓDZKIE - GMINY WIEJSKIE";3036;295018;
1100000000;"ŁÓDZKIE - MIASTO";10523;1278973;
1100000000;"ŁÓDZKIE - WIEŚ";4140;328235;
1140000000;"MAZOWIECKIE";23353;3452043;
1140000000;"MAZOWIECKIE - GMINY MIEJSKIE";13125;2099169;
1140000000;"MAZOWIECKIE - GMINY MIEJSKO-WIEJSKIE";5794;823689;
1140000000;"MAZOWIECKIE - GMINY WIEJSKIE";4434;529185;
1140000000;"MAZOWIECKIE - MIASTO";18727;2906830;
1140000000;"MAZOWIECKIE - WIEŚ";4626;545213;
2000000000;"Region południowy";47767;7394829;
2120000000;"MAŁOPOLSKIE";24876;3660154;
2120000000;"MAŁOPOLSKIE - GMINY MIEJSKIE";10991;1440773;
2120000000;"MAŁOPOLSKIE - GMINY MIEJSKO-WIEJSKIE";6323;1223298;
2120000000;"MAŁOPOLSKIE - GMINY WIEJSKIE";7562;996083;
2120000000;"MAŁOPOLSKIE - MIASTO";15977;2591723;
2120000000;"MAŁOPOLSKIE - WIEŚ";8899;1068431;
2240000000;"ŚLĄSKIE";22891;3734675;
2240000000;"ŚLĄSKIE - GMINY MIEJSKIE";16876;2826268;
2240000000;"ŚLĄSKIE - GMINY MIEJSKO-WIEJSKIE";1539;232662;
2240000000;"ŚLĄSKIE - GMINY WIEJSKIE";4476;675745;
2240000000;"ŚLĄSKIE - MIASTO";18357;3054410;
2240000000;"ŚLĄSKIE - WIEŚ";4534;680265;
3000000000;"Region wschodni";39830;6882877;
3060000000;"LUBELSKIE";11724;1955742;
3060000000;"LUBELSKIE - GMINY MIEJSKIE";5215;991437;
3060000000;"LUBELSKIE - GMINY MIEJSKO-WIEJSKIE";2144;355217;
3060000000;"LUBELSKIE - GMINY WIEJSKIE";4365;609088;
3060000000;"LUBELSKIE - MIASTO";7318;1344820;
3060000000;"LUBELSKIE - WIEŚ";4406;610922;
3180000000;"PODKARPACKIE";12710;2423150;
